id,name,folder,category,description,keywords,trigger_phrases,zh_triggers,source_type,source_package,path
e7b693b49718,agent-runtime-lab,agent-runtime-lab,agent-security-runtime,"Use when the user asks to inspect, audit, harden, diagnose, or test local AI agent runtimes, Codex, Claude Code, MCP tools, shell hooks, tool routing, tool logs, prompt injection, repo poisoning, policy checks, or authorized security lab targets.",MCP audit; MCP安全; access; action; actions; agent; agent-runtime-lab; ai-agent; analysis; append; attack; audit; authorized; authorized.; avoid; benign.; broad; build; bypass; caches; capabilities; categories.; cc-bos; chains; check; checks; choose; chosen; classify; claude; code; codex; codex-related; command; commands; concepts; confirm; constrain; content; core; credential; cwd; defensive; dependency; descriptions; destructive; destructive-action; details; deterministic; diagnose; directories.; dumping; duration; dvwa; enabled.; engineering; entries; environment; evaluation.; events; evidence; executionpolicy; explain.; explicit; explicitly; exploit; file; files; filesystem; filtering; findings; first.; folder; folders; force; generate; git; global; harden; helper; hints; hooks; ignore; important; info; injection; inspect; inspected; inspection; instructions,MCP audit; MCP安全; prompt injection; tool routing; 提示注入,MCP安全; 提示注入; 代理运行时; 工具调用; 策略检查; 安全审计,repo-skill,repository,skills\agent-runtime-lab\SKILL.md
eca63b923ffa,animejs,animejs,animation-rendering,"Use when writing Anime.js animations in HyperFrames, converting Anime.js examples, creating timelines, registering window.__hfAnime, making motion deterministic, or fixing Anime.js preview or render behavior.",WebGL; WebGPU; accent; adapter; adapter.; add; advance; after; anim; animate; animation; animations; anime; anime.js; anime.js.; anime.running; anime.timeline; animejs; animejs.com/documentation/; asset; async; authoring; auto-discovery; autoplay; avoid; based; bash; basic; behavior.; build; building; builds; callbacks; can; care; cdn.jsdelivr.net/npm/animejs; cdn.jsdelivr.net/npm/animejs/+esm; chip; clock.; compact.; complex; composition; compute; const; contract; converting; count; counts.; create; created.; creating; credits; default.; depending; deterministic; documentation; does; dom; duration; duration.; durations; during; easeoutcubic; easeoutexpo; easing; editing; event; every; examples; explicit; expose; false; finite; fixing; flourishes; good; gsap; handlers; how; html; https; hyperframes; import; imported; independent; infinite; initialization.; instance; instance.seek; instances,,动画; 滚动动画; 三维; WebGL; WebGPU; 粒子; 着色器; 动效,repo-skill,repository,skills\animejs\SKILL.md
89cf87a8ad03,css-animations,css-animations,animation-rendering,"Use when authoring CSS keyframes, CSS-only animation, animation-delay timing, animation-fill-mode, play-state, transitions, or deterministic CSS motion for HyperFrames preview and rendering.",WebGL; WebGPU; active; adapter; adapter.; after; animated; animating; animation; animation-delay; animation-duration; animation-fill-mode; animation-iteration-count; animation-name; animation-timing-function; animations; animations.; another; authoring; available; avoid; back; background; bash; basic; because; before; belongs; best; border; border-radius; both; browser; calc; can; cannot; change.; changing; choreography; class; classes; clearer.; clip; clip.; compositions; computed; contract; controls; count; count.; covering; credits; css; css-animations; css-only; cubic-bezier; currentcolor; custom; data-duration; data-start; data-track-index; decoration.; decorative; depend; deterministic; developer.mozilla.org/en-us/docs/web/css/animation-fill-mode; developer.mozilla.org/en-us/docs/web/css/reference/properties/animation; discovers; display; div; documentation; dom; dot-pop; dots; duplicating; duration; duration.; ease-out; editing; element; elements; entrances; environments; events.; excessive.; exposes; fallback; falls; finishes.; finite,,动画; 滚动动画; 三维; WebGL; WebGPU; 粒子; 着色器; 动效,repo-skill,repository,skills\css-animations\SKILL.md
5bd9db105acf,gsap-core,gsap-core,animation-rendering,"Use when the user asks for GSAP core animation, JavaScript animation, DOM or SVG tweens, gsap.to, from, fromTo, easing, duration, stagger, defaults, matchMedia, responsive animation, reduced motion, or framework-agnostic animation.",WebGL; WebGPU; about; across; active; aliases; all; already; alternates; always; amount; animate; animates; animation; animation.; animations; another; any; application; applied; apply; are; ask; astro; auto; avoids; back.out; backgroundcolor; before; behaving; below; between; boolean; browsers.; built-in; calculated; callbacks; camelcase; center; choice.; chosen; clamp; code; code.; common; common.; complex; consistent; content; context; control; controlled.; coordinated; core; created; css; cssplugin; current; customizing.; debugging; default; defaults; delay; direction.; docs; dom; draggable; duration; dynamic; dynamically; e.g.; each; ease; eases; easing; elastic.out; element; elements; elements.; end; engine; entrances; environment; equivalent; especially; etc.; expected; explaining; explicit; false,,动画; 滚动动画; 三维; WebGL; WebGPU; 粒子; 着色器; 动效,repo-skill,repository,skills\gsap-core\SKILL.md
82d88a5ce46f,gsap-frameworks,gsap-frameworks,animation-rendering,"Use when using GSAP with Vue, Nuxt, Svelte, SvelteKit, onMounted, onMount, onDestroy, framework lifecycle cleanup, scoped selectors, or non-React component animation.",WebGL; WebGPU; after; all; also; always; animation; animation.; animations; api; app; application; apply; are; argument; autoalpha; available; box; call; callback; called.; class; clean; cleanup; code; component; composable; composables/usegsap.ts; composition; const; container; container.value; create; created; cssruleplugin; ctx; ctx.revert; custombounce; customease; customwiggle; default; demonstrating; detached; div; dom; dom.; draggable; drawsvgplugin; duration; dynamically; e.g.; easelplugin; easepack; elements; equivalent; examples/nuxt/; examples/vue/; export; extensively; flip; framework; frameworks; gsap; gsap-core; gsap-frameworks; gsap-react; gsap-scrolltrigger; gsap-timeline; gsap.context; gsap.from; gsap.registerplugin; gsap.to; gsap/cssruleplugin; gsap/custombounce; gsap/customease; gsap/customwiggle; gsap/draggable; gsap/drawsvgplugin; gsap/easelplugin; gsap/easepack; gsap/flip; gsap/gsdevtools; gsap/inertiaplugin; gsap/morphsvgplugin; gsap/motionpathhelper; gsap/motionpathplugin; gsap/observer; gsap/physics2dplugin; gsap/physicspropsplugin; gsap/pixiplugin,,动画; 滚动动画; 三维; WebGL; WebGPU; 粒子; 着色器; 动效,repo-skill,repository,skills\gsap-frameworks\SKILL.md
70984688f1ec,gsap-performance,gsap-performance,animation-rendering,"Use when optimizing GSAP performance, animation jank, FPS, smoothness, 60fps, layout thrashing, transforms, will-change, batching, heavy scroll animation, or stuttering motion.",WebGL; WebGPU; about; achieve; actually; addeventlistener; after; all; animate; animate.; animating; animating.; animation; animations; animations.; apply; are; autoalpha; avoid; avoids; away; batch; batches; batching; best; browser; build; call; can; case; cause; causes; changes; clean; cleanup; code; compositor; consider; container; content; correctness.; cost; create; creating; css; debounce; debounced; default; delays; devices.; direct; document.queryselector; doing; dom; duration; during; e.g.; e.pagex; e.pagey; each; ease; effect.; efficient.; element; elements; every; fast; first; followers; force3d; fps; frame.; frequently; gsap; gsap-core; gsap-performance; gsap-scrolltrigger; gsap-timeline; gsap.quickto; handle; heavy; height; hints; huge; hundreds; hurt; ignore; inactive; instead; interleaving,,动画; 滚动动画; 三维; WebGL; WebGPU; 粒子; 着色器; 动效,repo-skill,repository,skills\gsap-performance\SKILL.md
7143a0227c5d,gsap-plugins,gsap-plugins,animation-rendering,"Use when the user asks about GSAP plugins such as ScrollToPlugin, ScrollSmoother, Flip, Draggable, Inertia, Observer, SplitText, ScrambleText, SVG drawing, physics plugins, CustomEase, CustomWiggle, CustomBounce, or plugin registration.",WebGL; WebGPU; about; absolute; access; accurate; acquisition; add/remove; after; all; animate; animated; animates; animating; animations; any; api; app; apply; are; auth; avoids; before; better; between; body; bounds; box; bundlers; call.; callbacks; can; capture; cards; change; changes; children; class; classes; club; club-only; code; commercial; component; config; const; constrain; container; content; core; css; cursor; custombounce; customease; customwiggle; default; description; div; docs; dom; drag; draggable; draggable.create; dragging; drawing; drawsvg; duration; during; e.g.; each; ease; easepack; easing; edgeresistance; element; elements; enable; etc.; event; every; everything; expanded/collapsed; false; faster; first; fit; fixed; flip; flip.from; flip.getstate,,动画; 滚动动画; 三维; WebGL; WebGPU; 粒子; 着色器; 动效,repo-skill,repository,skills\gsap-plugins\SKILL.md
5a8ba23ce525,gsap-react,gsap-react,animation-rendering,"Use when using GSAP with React or Next.js, useGSAP, refs, gsap.context, component cleanup, React animation hooks, or React-specific animation lifecycle issues.",WebGL; WebGPU; across; actual; added; after; all; always; animation; animations; any; app; apply; are; argument; array; automatically; available; avoid; avoiding; bad; badref; badref.current; badref.current.addeventlistener; bash; because; before; behavior; below; below.; between; box; browser.; call; callbacks; callbacks.; called; calls; can; causes; changes; children; cleaned; cleaning; cleanup; click; client.; code; component; config; const; container; containerref; context; context-safe; context.; context/ssr; contextsafe; created; ctx; ctx.revert; danger; default; defined.; dependencies; dependency; dependency/trigger; detached; does; doesn; doing; dom; during; e.g.; effect; either; element; elements; empty; endx; ensure; etc.; event; every; execute; executes; executes.; execution; flexibility; frameworks,,动画; 滚动动画; 三维; WebGL; WebGPU; 粒子; 着色器; 动效,repo-skill,repository,skills\gsap-react\SKILL.md
84b4b3e802ad,gsap-scrolltrigger,gsap-scrolltrigger,animation-rendering,"Use when building scroll-based animation with GSAP ScrollTrigger, parallax, pinning, scrub, scroll triggers, scroll-driven scenes, pinned sections, reveal-on-scroll, or ScrollTrigger debugging.",WebGL; WebGPU; actions; active; active.; add/remove; adds; after; also; animate; animation; animations; apply; are; array; available; based; basic; becomes; below.; boolean; bottom; bounds; box; building; call; callbacks; can; catch; center; changes.; children.; clamp; class; classname; cleanup; collapse; complete; config; container; containeranimation; containeranimation-based; content; creating; crossing; debugging.; default; defines; delay; description; dev; different; direct; direction; div.; docs; doesn; don; duration; e.g.; each; ease; element; element.; elements; end; endcolor; ends.; endtrigger; examples; fake; false; first; first.; fontsize; format; four; full; function; getvelocity; gsap; gsap-core; gsap-plugins; gsap-react; gsap-scrolltrigger; gsap-timeline; gsap.com/docs/v3/plugins/scrolltrigger/; gsap.registerplugin; gsap.to; height,,动画; 滚动动画; 三维; WebGL; WebGPU; 粒子; 着色器; 动效,repo-skill,repository,skills\gsap-scrolltrigger\SKILL.md
b246791db9f1,gsap-utils,gsap-utils,animation-rendering,"Use when using gsap.utils, clamp, mapRange, normalize, interpolate, random, snap, toArray, wrap, pipe, helper utilities, value mapping, or utility-driven animation logic.",WebGL; WebGPU; accept; accepts; all; allowed; animation; animations; another; another.; any; apply; are; args; argument; argument.; array; array/collection; backgroundcolor; between; blue; box; building; call; callback; callbacks; clamp; clampfn; clamping; code; color; colors; config; constrains; converting; customease; degrees; drives; duration; e.g.; each; easing; element; end; evaluates; exception; ff0000; form; form.; function; function-based; get; given; green; grid; gsap; gsap-core; gsap-plugins; gsap-scrolltrigger; gsap-timeline; gsap-utils; gsap.; gsap.com/docs/v3/gsap/utilitymethods/random; gsap.to; gsap.utils; gsap.utils.clamp; gsap.utils.interpolate; gsap.utils.maprange; gsap.utils.normalize; gsap.utils.random; gsap.utils.snap; handler; handles; handling; helper; helpers; https; immediate; inmax; inmin; input; inputs; instead; interpolate; interpolates; inverse; item; javascript; keys.; last,,动画; 滚动动画; 三维; WebGL; WebGPU; 粒子; 着色器; 动效,repo-skill,repository,skills\gsap-utils\SKILL.md
